sulfur dioxide diff,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,quality
125.0,7.0,0.27,0.36,20.7,0.045,45.0,1.001,3.0,0.45,8.8,6
118.0,6.3,0.3,0.34,1.6,0.049,14.0,0.994,3.3,0.49,9.5,6
67.0,8.1,0.28,0.4,6.9,0.05,30.0,0.9951,3.26,0.44,10.1,6
139.0,7.2,0.23,0.32,8.5,0.058,47.0,0.9956,3.19,0.4,9.9,6
139.0,7.2,0.23,0.32,8.5,0.058,47.0,0.9956,3.19,0.4,9.9,6
67.0,8.1,0.28,0.4,6.9,0.05,30.0,0.9951,3.26,0.44,10.1,6
106.0,6.2,0.32,0.16,7.0,0.045,30.0,0.9949,3.18,0.47,9.6,6
125.0,7.0,0.27,0.36,20.7,0.045,45.0,1.001,3.0,0.45,8.8,6
118.0,6.3,0.3,0.34,1.6,0.049,14.0,0.994,3.3,0.49,9.5,6
101.0,8.1,0.22,0.43,1.5,0.044,28.0,0.9938,3.22,0.45,11.0,6
52.0,8.1,0.27,0.41,1.45,0.033,11.0,0.9908,2.99,0.56,12.0,5
92.0,8.6,0.23,0.4,4.2,0.035,17.0,0.9947,3.14,0.53,9.7,5
59.0,7.9,0.18,0.37,1.2,0.04,16.0,0.992,3.18,0.63,10.8,5
95.0,6.6,0.16,0.4,1.5,0.044,48.0,0.9912,3.54,0.52,12.4,7
84.0,6.6,0.17,0.38,1.5,0.032,28.0,0.9914,3.25,0.55,11.4,7
154.0,7.4,0.34,0.42,1.1,0.033,17.0,0.9917,3.12,0.53,11.3,6
99.0,6.5,0.31,0.14,7.5,0.044,34.0,0.9955,3.22,0.5,9.5,5
83.0,6.4,0.31,0.38,2.9,0.038,19.0,0.9912,3.17,0.35,11.0,7
81.0,6.8,0.26,0.42,1.7,0.049,41.0,0.993,3.47,0.48,10.5,8
126.0,6.6,0.27,0.41,1.3,0.052,16.0,0.9951,3.42,0.47,10.0,6
189.0,7.0,0.25,0.32,9.0,0.046,56.0,0.9955,3.25,0.5,10.4,6
111.0,6.9,0.24,0.35,1.0,0.052,35.0,0.993,3.45,0.44,10.0,6
109.0,7.0,0.28,0.39,8.7,0.051,32.0,0.9961,3.38,0.53,10.5,6
115.0,7.4,0.27,0.48,1.1,0.047,17.0,0.9914,3.19,0.49,11.6,6
77.0,7.2,0.32,0.36,2.0,0.033,37.0,0.9906,3.1,0.71,12.3,7
122.0,8.5,0.24,0.39,10.4,0.044,20.0,0.9974,3.2,0.53,10.0,6
40.0,8.3,0.14,0.34,1.1,0.042,7.0,0.9934,3.47,0.4,10.2,6
69.0,7.4,0.25,0.36,2.05,0.05,31.0,0.992,3.19,0.44,10.8,6
74.0,6.2,0.12,0.34,1.5,0.045,43.0,0.9939,3.42,0.51,9.0,6
157.0,5.8,0.27,0.2,14.95,0.044,22.0,0.9962,3.37,0.37,10.2,5
124.0,6.5,0.39,0.23,5.4,0.051,25.0,0.9934,3.24,0.35,10.0,5
100.0,7.0,0.33,0.32,1.2,0.053,38.0,0.9906,3.13,0.28,11.2,6
104.0,7.3,0.24,0.39,17.95,0.057,45.0,0.9999,3.21,0.36,8.6,5
104.0,7.3,0.24,0.39,17.95,0.057,45.0,0.9999,3.21,0.36,8.6,5
132.0,7.0,0.31,0.26,7.4,0.069,28.0,0.9954,3.13,0.46,9.8,6
119.0,6.6,0.24,0.27,1.4,0.057,33.0,0.9934,3.22,0.56,9.5,6
121.0,6.7,0.23,0.26,1.4,0.06,33.0,0.9934,3.24,0.56,9.5,6
129.0,7.4,0.18,0.31,1.4,0.058,38.0,0.9931,3.16,0.53,10.0,7
143.0,6.2,0.45,0.26,4.4,0.063,63.0,0.994,3.27,0.52,9.8,4
145.0,6.2,0.46,0.25,4.4,0.066,62.0,0.9939,3.25,0.52,9.8,5
132.0,7.0,0.31,0.26,7.4,0.069,28.0,0.9954,3.13,0.46,9.8,6
118.0,6.9,0.19,0.35,5.0,0.067,32.0,0.995,3.36,0.48,9.8,5
142.0,7.2,0.19,0.31,1.6,0.062,31.0,0.9917,3.35,0.44,11.7,6
85.0,6.6,0.25,0.29,1.1,0.068,39.0,0.9914,3.34,0.58,11.0,7
61.0,6.2,0.16,0.33,1.1,0.057,21.0,0.991,3.32,0.46,10.9,7
69.0,6.4,0.18,0.35,1.0,0.045,39.0,0.9911,3.31,0.35,10.9,6
162.0,6.9,0.25,0.35,1.3,0.039,29.0,0.9908,3.13,0.52,11.0,6
176.0,7.2,0.21,0.34,11.9,0.043,37.0,0.9962,3.09,0.5,9.6,6
97.0,6.0,0.19,0.26,12.4,0.048,50.0,0.9972,3.3,0.36,8.9,6
53.0,6.6,0.38,0.15,4.6,0.044,25.0,0.9931,3.11,0.38,10.2,6
67.0,7.4,0.2,0.36,1.2,0.038,44.0,0.9926,3.36,0.34,9.9,6
97.0,6.0,0.19,0.26,12.4,0.048,50.0,0.9972,3.3,0.36,8.9,6
53.0,6.6,0.38,0.15,4.6,0.044,25.0,0.9931,3.11,0.38,10.2,6
91.0,7.2,0.24,0.27,1.4,0.038,31.0,0.9927,3.15,0.46,10.3,6
97.0,6.4,0.26,0.24,6.4,0.04,27.0,0.9903,3.22,0.49,12.6,7
66.0,6.7,0.23,0.31,2.1,0.046,30.0,0.9926,3.33,0.64,10.7,8
84.0,7.4,0.24,0.29,10.1,0.05,21.0,0.9962,3.13,0.35,9.5,5
